-71.1064001,42.3690096,30 Lee St, Cambridge, Ma, 6384
-71.106581,42.3698515,310 Harvard St, Cambridge, Ma, 6428
-71.106818,42.3699274,314 Harvard St, Cambridge, Ma, 6447
-71.1034044,42.3726317,31 Fayette St, Cambridge, Ma, 6503
-71.1029631,42.3710336,32 Antrim St, Cambridge, Ma, 6623
-71.1062961,42.3691016,32 Lee St, Cambridge, Ma, 6667
-71.1042954,42.3682585,33 Inman St, Cambridge, Ma, 6797
-71.103188,42.3713597,37 Antrim St, Cambridge, Ma, 7271
-71.1048803,42.368979,37 Bigelow St, Cambridge, Ma, 7275
-71.1046939,42.3688662,35 Bigelow St, Cambridge, Ma, 7276
-71.1066825,42.367886,3 Clinton St, Cambridge, Ma, 7553
-71.1059709,42.3704352,3 Hancock Pk, Cambridge, Ma, 7580
-71.1060355,42.3693976,40 Lee St, Cambridge, Ma, 7728
-71.1056776,42.3701391,41 Lee St, Cambridge, Ma, 7803
-71.1029475,42.3713319,42 Antrim St, Cambridge, Ma, 7877
-71.1039526,42.3732221,42 Maple Ave, Cambridge, Ma, 7907
-71.1031215,42.3728567,43 Fayette St, Cambridge, Ma, 7959
-71.1055844,42.3702314,43 Lee St, Cambridge, Ma, 7976
-71.1030386,42.3729374,45 Fayette St, Cambridge, Ma, 8095
-71.1054947,42.3703276,45 Lee St, Cambridge, Ma, 8109
-71.1028449,42.3714334,48 Antrim St, Cambridge, Ma, 8308
-71.103887,42.3733063,48 Maple Ave, Cambridge, Ma, 8358
-71.1047951,42.3714481,4 Fayette Pk, Cambridge, Ma, 8490
-71.1059105,42.3705876,4 Hancock Pk, Cambridge, Ma, 8502
-71.1038014,42.3734055,52 Maple Ave, Cambridge, Ma, 8748
-71.1028498,42.373156,51 Fayette St, Cambridge, Ma, 8791
-71.1028953,42.3717485,55 Antrim St, Cambridge, Ma, 8882
-71.1037294,42.3735005,56 Maple Ave, Cambridge, Ma, 8963
-71.1031104,42.3732555,5 Fainwood Cir, Cambridge, Ma, 9179
-71.1044678,42.3712566,5 Fayette St, Cambridge, Ma, 9181
-71.1070003,42.3696033,5 Hancock Pl, Cambridge, Ma, 9197
-71.1036447,42.3736146,60 Maple Ave, Cambridge, Ma, 9312
-71.1028079,42.3718599,61 Antrim St, Cambridge, Ma, 9350
-71.102619,42.3717249,62 Antrim St, Cambridge, Ma, 9415
-71.1027694,42.3704972,63 Inman St, Cambridge, Ma, 9475
-71.1027722,42.3719448,65 Antrim St, Cambridge, Ma, 9565
-71.1035237,42.3737554,66 Maple Ave, Cambridge, Ma, 9646
-71.1026789,42.3720653,67 Antrim St, Cambridge, Ma, 9673
-71.0995573,42.3743253,24 Oak St, Cambridge, Ma, 11582
-71.0995077,42.373658,1309 Cambridge St, Cambridge, Ma, 11588
-71.0992019,42.373626,1297 Cambridge St, Cambridge, Ma, 11593
-71.0986046,42.374084,22 Clary St, Cambridge, Ma, 11626
-71.1005329,42.374174,14 Springfield St, Cambridge, Ma, 11572
-71.105212,42.3661043,744 Massachusetts Ave, Cambridge, Ma, 10071
-71.1075867,42.3676292,872 Massachusetts Ave, Cambridge, Ma, 10648
-71.10808,42.3678682,888 Massachusetts Ave, Cambridge, Ma, 10687
-71.1084195,42.3680292,898 Massachusetts Ave, Cambridge, Ma, 10719
-71.1087839,42.3682821,910 Massachusetts Ave, Cambridge, Ma, 10951
-71.1083659,42.3655496,10 Soden St, Cambridge, Ma, 11428
-71.108094,42.3656077,9 Soden St, Cambridge, Ma, 11429
-71.1058106,42.3656431,380 Green St, Cambridge, Ma, 13504
-71.1083494,42.3671127,486 Green St, Cambridge, Ma, 13530
-71.1097488,42.367271,461 Franklin St, Cambridge, Ma, 13531
-71.1096726,42.3674911,28 Hancock St, Cambridge, Ma, 13532
-71.1068331,42.3656336,315 Franklin St, Cambridge, Ma, 13533
-71.1065633,42.3655865,17 Pleasant St, Cambridge, Ma, 13534
-71.1070794,42.3673393,844 Massachusetts Ave, Cambridge, Ma, 13608
-71.1071439,42.3673777,846 Massachusetts Ave, Cambridge, Ma, 13609
-71.107204,42.3672996,848 Massachusetts Ave, Cambridge, Ma, 13610
-71.1074191,42.3671101,850 Massachusetts Ave, Cambridge, Ma, 13611
-71.1075284,42.367132,852 Massachusetts Ave, Cambridge, Ma, 13612
-71.1075903,42.367219,854 Massachusetts Ave, Cambridge, Ma, 13613
